State,County,Preventable Hospital Stays,PCP Number,PCP Rate,MHP Number,MHP Rate,Smoking %,Obesity %,Physical Inactivy %,Mammogram %,Flu Vaccine %,Income 80%,Income 20%,Life Expectancy
Kentucky,Jefferson,5121.0,719.0,93.0,2470.0,322.0,23,32,25,47.0,53.0,113454.0,24024.0,76.075976804
Kentucky,Jessamine,3349.0,43.0,80.0,57.0,105.0,22,35,27,44.0,56.0,113566.0,25014.0,77.492092253
Kentucky,Johnson,9983.0,16.0,71.0,35.0,158.0,27,43,37,33.0,40.0,87211.0,14200.0,71.940485868
Kentucky,Kenton,4595.0,142.0,86.0,295.0,177.0,20,35,25,44.0,55.0,119626.0,28448.0,76.148827759
Kentucky,Knott,10634.0,5.0,33.0,6.0,41.0,29,43,41,29.0,35.0,67638.0,12453.0,72.383645133
Kentucky,Knox,5577.0,7.0,22.0,23.0,74.0,31,37,35,31.0,26.0,67620.0,9655.0,72.41073296
Kentucky,Larue,5726.0,1.0,7.0,4.0,28.0,27,39,32,40.0,47.0,84459.0,21611.0,75.56638968
Kentucky,Laurel,5163.0,25.0,41.0,38.0,62.0,26,38,32,36.0,38.0,83605.0,15025.0,74.994774712
Kentucky,Lawrence,7691.0,5.0,32.0,43.0,281.0,30,45,33,42.0,45.0,67989.0,12998.0,72.108807181
Kentucky,Lee,9795.0,2.0,28.0,10.0,135.0,32,42,40,30.0,22.0,62303.0,9251.0,71.266138535
Kentucky,Leslie,7893.0,2.0,20.0,5.0,51.0,30,41,30,24.0,23.0,63286.0,10342.0,70.375584824
Kentucky,Letcher,11858.0,16.0,73.0,17.0,79.0,30,39,37,34.0,26.0,66343.0,11389.0,70.961718309
Kentucky,Lewis,4746.0,3.0,23.0,4.0,30.0,30,43,38,32.0,39.0,70537.0,13021.0,71.649467325
Kentucky,Lincoln,5507.0,7.0,28.0,22.0,90.0,28,33,30,31.0,37.0,83154.0,18728.0,74.331514331
Kentucky,Livingston,8605.0,3.0,32.0,2.0,22.0,25,40,33,42.0,38.0,81219.0,19513.0,75.746964519
Kentucky,Logan,5772.0,8.0,30.0,16.0,59.0,25,37,34,46.0,53.0,87650.0,19279.0,75.04312555
Kentucky,Lyon,4067.0,3.0,37.0,3.0,37.0,24,32,38,43.0,51.0,89962.0,22829.0,75.88899404
Kentucky,McCracken,5493.0,63.0,96.0,139.0,212.0,21,31,31,51.0,53.0,98347.0,19784.0,76.612300477
Kentucky,McCreary,5151.0,2.0,11.0,18.0,104.0,33,38,33,26.0,27.0,64491.0,11671.0,71.872879665
Kentucky,Madison,3957.0,50.0,54.0,129.0,139.0,22,36,23,41.0,47.0,99994.0,19138.0,76.183745278
Kentucky,Magoffin,8578.0,5.0,40.0,19.0,156.0,30,40,32,32.0,38.0,64569.0,11770.0,71.615869637
Kentucky,Marion,3528.0,9.0,46.0,36.0,187.0,27,37,41,47.0,38.0,84595.0,17618.0,75.333391513
Kentucky,Marshall,4691.0,14.0,45.0,9.0,29.0,23,36,29,43.0,50.0,105114.0,22526.0,74.960584008
Kentucky,Martin,11028.0,3.0,26.0,9.0,80.0,29,41,36,27.0,34.0,79082.0,15410.0,73.354596862
Kentucky,Mason,4451.0,12.0,70.0,76.0,445.0,25,35,33,36.0,44.0,104710.0,17461.0,73.408552016
Kentucky,Meade,5620.0,6.0,21.0,21.0,73.0,22,34,26,38.0,46.0,107784.0,27822.0,76.029905045
Kentucky,Menifee,5234.0,3.0,47.0,22.0,339.0,28,42,33,31.0,33.0,74994.0,14276.0,74.400359562
Kentucky,Mercer,6566.0,5.0,23.0,29.0,132.0,24,28,31,34.0,45.0,102234.0,20513.0,75.408526743
Kentucky,Metcalfe,7161.0,2.0,20.0,10.0,99.0,29,34,32,31.0,41.0,76815.0,14665.0,75.339693596
Kentucky,Monroe,14450.0,5.0,47.0,8.0,75.0,28,35,33,32.0,41.0,84875.0,13875.0,72.443682742
Kentucky,Montgomery,4333.0,13.0,46.0,116.0,412.0,27,34,35,38.0,50.0,83271.0,21081.0,75.217851864
